state,matured_area_ha,immature_area_ha,planted_area_ha,state_label,planted_area_Mha
Johor,615836,59722,675558,Johor,0.676
Kedah,79319,8156,87475,Kedah,0.087
Kelantan,135876,26214,162090,Kelantan,0.162
Melaka,45427,4057,49484,Melaka,0.049
Negeri Sembilan,168973,13545,182518,Negeri Sembilan,0.183
Pahang,653601,91844,745445,Pahang,0.745
Perak,327816,36058,363873,Perak,0.364
Perlis,759,168,927,Perlis,0.001
Pulau Pinang,8012,181,8193,Pulau Pinang,0.008
Selangor,96611,7744,104355,Selangor,0.104
Trengganu,143593,20124,163717,Terengganu,0.164
Sabah,1267999,228559,1496558,Sabah,1.497
Sarawak,1499656,160200,1659857,Sarawak,1.66
